"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Chlamydiales","Chlamydiales","Chlamydiales"
"ASV_2","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Diplorickettsia","Diplorickettsia"
"ASV_3","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Borrelia","Borrelia"
"ASV_4","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma"
"ASV_5","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia"
"ASV_6","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsiaceae","Rickettsiaceae"
"ASV_7","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma","Entomoplasma"
"ASV_8","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"ASV_9","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Diplorickettsia","Diplorickettsia"
"ASV_10","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"ASV_11","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma","Entomoplasma"
"ASV_12","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Weeksellaceae","Weeksellaceae"
"ASV_13","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","multivorum"
"ASV_14","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma","Entomoplasma"
"ASV_15","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Acaricomes","Acaricomes"
"ASV_16","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia","Delftia"
"ASV_17","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","mizutaii"
"ASV_18","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella","Tsukamurella"
"ASV_19","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Weeksellaceae","Weeksellaceae"
"ASV_20","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","Ochrobactrum"
"ASV_21","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"ASV_22","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter"
"ASV_23","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia","Delftia"
"ASV_25","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma","Entomoplasma"
"ASV_26","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma"
"ASV_27","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium"
"ASV_28","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"ASV_29","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas"
